id,url,header,endereço,extras,Bairro,Retirado em,comodos_limpo,comodos_limpos,banheiros_limpos,garagens_limpas,preço_limpo,condomínio_limpo,area_limpo,Condomínio fechado,Acesso para deficientes,Portão eletrônico,Vista panorâmica,Aquecimento,Hall de entrada,Salão de jogos,Cozinha,Porcelanato,Despensa,Piscina para adulto,Varanda,Cozinha grande,Churrasqueira,Espaço gourmet,Depósito,Portaria 24h,Jardim,Janela grande,Copa,Estacionamento para visitantes,Próximo a transporte público,Quadra de tênis,Gramado,Móvel planejado,Vigia,Cabeamento estruturado,TV a cabo,Vista para lago,Próximo a hospitais,Spa,Perto de vias de acesso,Vista para o mar,Academia,Espaço verde / Parque,Bicicletário,Espaço teen,Box blindex,Ar-condicionado,Janela de alumínio,Recepção,Quadra poliesportiva,Segurança 24h,Garagem,Piscina,Ambientes integrados,Aceita animais,Varanda gourmet,Próximo a escola,Quintal,Vista exterior,Circuito de segurança,Isolamento acústico,Andar inteiro,Churrasqueira na varanda,Conexão à internet,Elevador,Sauna,Armário na cozinha,Escritório,Piscina infantil,Sala grande,Sala de jantar,Playground,Próximo a shopping,Mais de um andar,Mobiliado,Sistema de alarme,Área de lazer,Lavanderia,Área de serviço,Cozinha americana,Piso de madeira,Interfone,Gás Encanado,Vista para a montanha,Ventilação natural,Closet,Armário embutido,Lavabo,Armário embutido no quarto,Salão de festas,Piso laminado,Gesso - Sanca - Teto Rebaixado,Quarto de serviço,Gerador elétrico
2455624498,https://www.vivareal.com.br/imovel/apartamento-5-quartos-catete-zona-sul-rio-de-janeiro-com-garagem-140m2-venda-RS1200000-id-2455624498/,"Apartamento com 5 Quartos à Venda, 140m²","Catete, Rio de Janeiro - RJ","Elevador, Área de serviço, Salão de festas, Armário embutido, Armário na cozinha",Catete,2021-04-14 11:40:00,0,5,3,1,1200000,2100,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2511527664,https://www.vivareal.com.br/imovel/apartamento-2-quartos-catete-zona-sul-rio-de-janeiro-75m2-venda-RS540000-id-2511527664/,"Apartamento com 2 Quartos à Venda, 75m²","Praça Nicarágua - Catete, Rio de Janeiro - RJ","Elevador, Área de serviço, Interfone, Vigia",Catete,2021-04-14 11:40:00,0,2,2,0,540000,700,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2513891824,https://www.vivareal.com.br/imovel/apartamento-2-quartos-catete-zona-sul-rio-de-janeiro-59m2-venda-RS375000-id-2513891824/,"Apartamento com 2 Quartos à Venda, 59m²","Rua Pedro Américo - Catete, Rio de Janeiro - RJ",Interfone,Catete,2021-04-14 11:40:00,0,2,1,0,375000,250,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2514899576,https://www.vivareal.com.br/imovel/apartamento-3-quartos-catete-zona-sul-rio-de-janeiro-62m2-venda-RS460000-id-2514899576/,"Apartamento com 3 Quartos à Venda, 62m²","Rua Pedro Américo - Catete, Rio de Janeiro - RJ","Área de serviço, Cozinha",Catete,2021-04-14 11:40:00,0,3,2,0,460000,540,62,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2514301674,https://www.vivareal.com.br/imovel/apartamento-2-quartos-catete-zona-sul-rio-de-janeiro-70m2-venda-RS420000-id-2514301674/,"Apartamento com 2 Quartos à Venda, 70m²","Catete, Rio de Janeiro - RJ",,Catete,2021-04-14 11:40:00,0,2,1,0,420000,250,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2504159184,https://www.vivareal.com.br/imovel/apartamento-3-quartos-catete-zona-sul-rio-de-janeiro-com-garagem-91m2-venda-RS1045000-id-2504159184/,"Apartamento com 3 Quartos à Venda, 91m²","Rua Dois de Dezembro - Catete, Rio de Janeiro - RJ","Elevador, Área de serviço, Interfone",Catete,2021-04-14 11:40:00,0,3,3,1,1045000,1160,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2497741362,https://www.vivareal.com.br/imovel/apartamento-1-quartos-catete-zona-sul-rio-de-janeiro-57m2-venda-RS530000-id-2497741362/,"Apartamento com Quarto à Venda, 57m²","Rua Bento Lisboa - Catete, Rio de Janeiro - RJ","Elevador, Ar-condicionado, Armário embutido, Armário na cozinha, Interfone",Catete,2021-04-14 11:40:00,0,1,2,0,530000,550,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2496187340,https://www.vivareal.com.br/imovel/apartamento-1-quartos-catete-zona-sul-rio-de-janeiro-36m2-venda-RS400000-id-2496187340/,Apartamento com Quarto para Venda/Aluguel 36m²,"Rua Pedro Américo - Catete, Rio de Janeiro - RJ","Elevador, Salão de festas, Interfone",Catete,2021-04-14 11:40:00,0,1,1,0,1300,490,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2471982286,https://www.vivareal.com.br/imovel/apartamento-3-quartos-catete-zona-sul-rio-de-janeiro-100m2-venda-RS850000-id-2471982286/,"Apartamento com 3 Quartos à Venda, 100m²","Largo do Machado - Catete, Rio de Janeiro - RJ","Elevador, Área de serviço, Cozinha, Interfone, Sistema de alarme",Catete,2021-04-14 11:40:00,0,3,2,0,850000,950,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2494737762,https://www.vivareal.com.br/imovel/apartamento-2-quartos-catete-zona-sul-rio-de-janeiro-com-garagem-75m2-venda-RS805000-id-2494737762/,"Apartamento com 2 Quartos à Venda, 75m²","Rua Artur Bernardes - Catete, Rio de Janeiro - RJ","Elevador, Área de serviço, Ar-condicionado, Vigia",Catete,2021-04-14 11:40:00,0,2,2,1,805000,830,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2515503130,https://www.vivareal.com.br/imovel/apartamento-3-quartos-catete-zona-sul-rio-de-janeiro-com-garagem-85m2-venda-RS900000-id-2515503130/,"Apartamento com 3 Quartos à Venda, 85m²","Catete, Rio de Janeiro - RJ",,Catete,2021-04-14 11:40:00,0,3,3,1,900000,1350,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2511189700,https://www.vivareal.com.br/imovel/apartamento-1-quartos-catete-zona-sul-rio-de-janeiro-40m2-venda-RS350000-id-2511189700/,"Apartamento com Quarto à Venda, 40m²","Rua Pedro Américo - Catete, Rio de Janeiro - RJ","Elevador, Interfone, Vigia",Catete,2021-04-14 11:40:00,0,1,1,0,350000,466,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
