id,url,header,endereço,area,comodos,banheiros,garagens,extras,preço,condomínio,Bairro,Retirado em
2515995080,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lagoa-zona-sul-rio-de-janeiro-com-garagem-125m2-venda-RS1900000-id-2515995080/,"Apartamento com 2 Quartos à Venda, 125m²","Lagoa, Rio de Janeiro - RJ",125,2 Quartos,3 Banheiros,2 Vagas,"Elevador
Interfone",R$ 1.900.000,R$ 2.000,Lagoa,2021-04-14 11:14
2515995074,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lagoa-zona-sul-rio-de-janeiro-com-garagem-110m2-venda-RS1900000-id-2515995074/,"Apartamento com 2 Quartos à Venda, 110m²","Lagoa, Rio de Janeiro - RJ",110,2 Quartos,3 Banheiros,1 Vaga,Interfone,R$ 1.900.000,R$ 1.250,Lagoa,2021-04-14 11:14
2515993745,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lagoa-zona-sul-rio-de-janeiro-com-garagem-165m2-venda-RS2434851-id-2515993745/,"Apartamento com 2 Quartos à Venda, 165m²","Lagoa, Rio de Janeiro - RJ",165,2 Quartos,1 Banheiro,2 Vagas,"Churrasqueira
Elevador
Interfone",R$ 2.434.851,R$ 2.055,Lagoa,2021-04-14 11:14
2515995079,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lagoa-zona-sul-rio-de-janeiro-com-garagem-133m2-venda-RS1949391-id-2515995079/,"Apartamento com 2 Quartos à Venda, 133m²","Lagoa, Rio de Janeiro - RJ",133,2 Quartos,1 Banheiro,1 Vaga,"Piscina
Elevador
Interfone
Sauna",R$ 1.949.391,R$ 1.450,Lagoa,2021-04-14 11:14
2512892807,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lagoa-zona-sul-rio-de-janeiro-com-garagem-140m2-venda-RS2600000-id-2512892807/,"Apartamento com 2 Quartos à Venda, 140m²","Avenida Borges de Medeiros - Lagoa, Rio de Janeiro - RJ",140,2 Quartos,2 Banheiros,2 Vagas,"Varanda
Elevador
Área de serviço
Interfone",R$ 2.600.000,R$ 1.650,Lagoa,2021-04-14 11:14
2498515535,https://www.vivareal.com.br/imovel/apartamento-3-quartos-lagoa-zona-sul-rio-de-janeiro-com-garagem-91m2-venda-RS1650000-id-2498515535/,"Apartamento com 3 Quartos à Venda, 91m²","Avenida Lineu de Paula Machado - Lagoa, Rio de Janeiro - RJ",91,3 Quartos,3 Banheiros,1 Vaga,Elevador,R$ 1.650.000,R$ 1.000,Lagoa,2021-04-14 11:14
https://www.vivareal.com.br/imoveis-lancamento/village-vert-2495958973,https://www.vivareal.com.br/imoveis-lancamento/village-vert-2495958973/,Village Vert,"Estrada do Bananal, 721 - Freguesia- Jacarepaguá, Rio de Janeiro - RJ",77-89,2-3 Quartos,2 Banheiros,1 Vaga,,Sob Consulta,,Lagoa,2021-04-14 11:14
2490720300,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lagoa-zona-sul-rio-de-janeiro-com-garagem-100m2-venda-RS1450000-id-2490720300/,"Apartamento com 2 Quartos à Venda, 100m²","Rua Baronesa de Poconé - Lagoa, Rio de Janeiro - RJ",100,2 Quartos,2 Banheiros,2 Vagas,"Piscina
Elevador
Condomínio fechado
Playground
Ar-condicionado",R$ 1.450.000,R$ 1.500,Lagoa,2021-04-14 11:14
2513393600,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lagoa-zona-sul-rio-de-janeiro-com-garagem-78m2-venda-RS1200000-id-2513393600/,"Apartamento com 2 Quartos à Venda, 78m²","Rua Presidente Alfonso López - Lagoa, Rio de Janeiro - RJ",78,2 Quartos,3 Banheiros,2 Vagas,"Mobiliado
Churrasqueira
Elevador
Academia
Garagem",R$ 1.200.000,,Lagoa,2021-04-14 11:14
2475091882,https://www.vivareal.com.br/imovel/apartamento-4-quartos-lagoa-zona-sul-rio-de-janeiro-com-garagem-160m2-venda-RS1800000-id-2475091882/,"Apartamento com 4 Quartos à Venda, 160m²","Avenida Epitácio Pessoa, 5050 - Lagoa, Rio de Janeiro - RJ",160,4 Quartos,2 Banheiros,2 Vagas,"Elevador
Condomínio fechado",R$ 1.800.000,R$ 3.000,Lagoa,2021-04-14 11:14
